Ref,Val,Package,PosX,PosY,Rot,Side
"C201","10uF","C_1206",142.750000,-79.800000,-90.000000,top
"C202","100nF","C_0603",141.050000,-79.800000,-90.000000,top
"C204","1uF","C_0603",137.550000,-79.800000,90.000000,top
"C205","15pF","C_0603",137.550000,-85.550000,180.000000,top
"C206","10uF","C_1206",134.300000,-79.800000,0.000000,top
"C301","1nF","C_0603",121.100000,-94.600000,0.000000,top
"C302","1nF","C_0603",121.100000,-91.800000,180.000000,top
"C303","1nF","C_0603",121.100000,-93.200000,180.000000,top
"C401","10uF","C_1206",119.600000,-85.900000,90.000000,top
"C402","1uF","C_0603",113.400000,-84.900000,180.000000,top
"C403","1uF","C_0603",112.100000,-87.400000,90.000000,top
"C404","100nF","C_0603",117.700000,-87.400000,90.000000,top
"C405","100nF","C_0603",114.900000,-87.400000,90.000000,top
"C406","100nF","C_0603",113.500000,-87.400000,90.000000,top
"C407","1uF","C_0603",119.100000,-90.400000,0.000000,top
"C408","100nF","C_0603",114.300000,-96.800000,-90.000000,top
"C409","100nF","C_0603",115.700000,-96.800000,-90.000000,top
"C410","4.7uF","C_0805",121.800000,-87.400000,-90.000000,top
"C411","100nF","C_0603",116.300000,-87.400000,90.000000,top
"C501","100nF","C_0603",111.700000,-96.000000,180.000000,top
"C601","100nF","C_0603",117.200000,-74.600000,90.000000,top
"C602","100nF","C_0603",114.600000,-75.400000,90.000000,top
"C603","100nF","C_0603",113.600000,-80.000000,180.000000,top
"C604","100nF","C_0603",115.200000,-81.600000,-90.000000,top
"C605","100nF","C_0603",121.400000,-77.800000,0.000000,top
"C606","100nF","C_0603",118.000000,-82.400000,-90.000000,top
"C607","100nF","C_0603",121.400000,-76.100000,0.000000,top
"C608","15pF","C_0603",120.000000,-70.700000,-90.000000,top
"C609","15pF","C_0603",114.400000,-71.000000,90.000000,top
"C610","1pF","C_0603",112.000000,-78.000000,-90.000000,top
"C611","1.5pF","C_0603",110.700000,-80.400000,90.000000,top
"C612","100pF","C_0603",110.700000,-73.075000,90.000000,top
"C613","1.5pF","C_0603",110.000000,-77.175000,180.000000,top
"C614","3.3pF","C_0603",106.400000,-76.250000,90.000000,top
"C615","100pF","C_0603",103.500000,-78.000000,180.000000,top
"C617","1pF","C_0603",101.250000,-78.000000,180.000000,top
"D201","Green","LiteOn_LED0603",146.500000,-56.400000,90.000000,top
"D202","~","onsemi_DO-214AC",152.200000,-62.290000,-90.000000,top
"D203","~","onsemi_DO-214AC",162.300000,-62.290000,-90.000000,top
"D204","~","onsemi_DO-214AC",155.550000,-62.290000,90.000000,top
"D205","~","onsemi_DO-214AC",158.900000,-62.290000,90.000000,top
"D206","~","onsemi_DO-214AC",161.600000,-71.337500,90.000000,top
"D207","Green","LiteOn_LED0603",148.000000,-56.400000,-90.000000,top
"D301","~","onsemi_SOD523",147.900000,-65.200000,-90.000000,top
"D302","~","onsemi_SOD523",152.100000,-71.550000,-90.000000,top
"D303","~","onsemi_SOD523",140.000000,-95.000000,0.000000,top
"D501","Green","LiteOn_LED0603",105.150000,-82.450000,0.000000,top
"F201","2A","Bel_0679H",140.500000,-46.400000,180.000000,top
"GFX101","~","Snaily",111.210995,-65.149647,90.000000,top
"J101","~","WAGO_2060-852998-404",157.800000,-50.000000,180.000000,top
"L201","L","Vishay_L_3131",136.300000,-74.300000,180.000000,top
"L401","2.2uH","L_0603",119.100000,-89.100000,0.000000,top
"L601","12nH","L_0603",113.750000,-77.300000,180.000000,top
"L602","12nH","L_0603",113.750000,-78.750000,180.000000,top
"L603","18nH","L_0603",110.700000,-75.325000,90.000000,top
"L604","18nH","L_0603",110.000000,-78.700000,180.000000,top
"L605","12nH","L_0603",107.950000,-78.000000,180.000000,top
"L606","12nH","L_0603",105.750000,-78.000000,180.000000,top
"L607","12nH","L_0603",100.500000,-76.187500,90.000000,top
"R201","200k","R_1206",146.500000,-53.700000,0.000000,top
"R203","100k","R_0603",142.700000,-83.600000,180.000000,top
"R204","200k","R_1206",129.200000,-65.225000,0.000000,top
"R205","10","R_0603",137.550000,-81.800000,180.000000,top
"R206","82k","R_0603",139.800000,-82.550000,-90.000000,top
"R207","10k","R_0603",137.550000,-83.050000,180.000000,top
"R208","40.2k","R_0603",137.550000,-84.300000,180.000000,top
"R301","12k","R_0603",143.600000,-98.400000,180.000000,top
"R302","100","R_1210",140.000000,-98.400000,180.000000,top
"R303","62k","R_0603",136.400000,-98.400000,180.000000,top
"R304","3.3k","R_0603",140.000000,-96.200000,180.000000,top
"R307","20k","R_0603",121.200000,-95.900000,0.000000,top
"R308","6.8k","R_0603",123.700000,-90.300000,-90.000000,top
"R309","6.8k","R_0603",123.700000,-92.300000,0.000000,top
"R501","100","R_0603",108.050000,-83.650000,180.000000,top
"R502","1k","R_0603",105.050000,-83.650000,180.000000,top
"R503","10k","R_0603",111.600000,-97.300000,0.000000,top
"R601","56k","R_0603",116.600000,-82.650000,-90.000000,top
"S501","~","CK_PTS810",104.700000,-86.800000,0.000000,top
"S502","~","CK_PTS810",104.300000,-97.200000,0.000000,top
"U201","~","Monolithic_SOT563",139.300000,-79.800000,180.000000,top
"U202","~","Microchip_SOIC_8",157.100000,-71.337500,180.000000,top
"U401","~","SiLabs_VQFN32",115.300000,-92.300000,0.000000,top
"U601","~","TI_QFN20_RGP",117.750000,-78.250000,180.000000,top
"X401","38.4MHz","ECS_ECX-1637B",109.500000,-94.200000,90.000000,top
"X402","32.768kHz","ECS_ECX-16",110.400000,-89.400000,-90.000000,top
"X601","27MHz","Abracon_ABM8",117.200000,-70.800000,0.000000,top
